Edad,Medalla_Oro
10.0,0
11.0,0
12.0,0
13.0,7
14.0,27
15.0,75
16.0,121
17.0,206
18.0,289
19.0,478
20.0,700
21.0,945
22.0,1127
23.0,1155
24.0,1170
25.0,1082
26.0,1008
27.0,888
28.0,830
29.0,684
30.0,555
31.0,431
32.0,387
33.0,324
34.0,243
35.0,193
36.0,152
37.0,93
38.0,98
39.0,74
40.0,83
41.0,54
42.0,48
43.0,35
44.0,43
45.0,23
46.0,28
47.0,27
48.0,22
49.0,16
50.0,17
51.0,5
52.0,13
53.0,8
54.0,15
55.0,1
56.0,12
57.0,2
58.0,3
59.0,2
60.0,4
61.0,0
62.0,0
63.0,4
64.0,2
65.0,0
66.0,0
67.0,0
68.0,0
69.0,0
70.0,0
71.0,0
72.0,0
73.0,0
74.0,0
75.0,0
76.0,0
77.0,0
80.0,0
81.0,0
84.0,0
88.0,0
96.0,0
97.0,0
