Deporte,Medalla_Oro,Medalla_Plata,Medalla_Bronce,Total
Alpine Skiing,0,0,0,0
Archery,0,1,1,2
Art Competitions,0,0,0,0
Athletics,5,7,7,19
Badminton,0,0,0,0
Basketball,0,0,11,11
Beach Volleyball,0,0,0,0
Bobsleigh,0,0,0,0
Boccia,0,0,0,0
Boxing,2,3,8,13
Canoeing,0,0,0,0
Cross Country Skiing,0,0,0,0
Cycling,0,1,1,2
Diving,1,9,7,17
Equestrian,0,0,0,0
Equestrianism,4,1,12,17
Fencing,0,1,0,1
Figure Skating,0,0,0,0
Football,16,0,0,16
Golf,0,0,0,0
Gymnastics,0,0,0,0
Hockey,0,0,0,0
Judo,0,0,2,2
Modern Pentathlon,0,0,1,1
Polo,0,0,4,4
Powerlifting,1,0,0,1
Rowing,0,0,0,0
Sailing,0,0,0,0
Shooting,0,1,0,1
Skeleton,0,0,0,0
Swimming,4,0,4,8
Synchronized Swimming,0,0,0,0
Table Tennis,0,0,0,0
Taekwondo,3,2,3,8
Tennis,0,0,0,0
Triathlon,0,0,0,0
Volleyball,0,0,0,0
Water Polo,0,0,0,0
Weightlifting,1,0,0,1
Wrestling,0,1,0,1
